s.no,s.temp,o.temp,step
690,89.08,90.45,9.37
691,89.08,90.66,9.65
692,89.08,90.45,9.6
693,88.79,89.94,9.09
694,89.08,89.01,9.85
695,88.97,91.13,11.46
696,88.97,89.08,9.52
697,89.01,89.91,9.61
698,88.97,90.16,9.56
699,88.9,89.94,9.47
700,88.97,90.09,9.53
701,88.93,90.55,9.46
702,88.9,90.48,9.44
703,88.93,90.7,9.55
704,88.93,90.3,9.52
705,88.9,90.09,9.46
706,88.86,90.23,9.59
707,88.86,90.16,9.49
708,88.83,90.48,9.46
709,88.75,90.3,9.48
710,88.75,90.09,9.5
711,88.75,90.55,9.56
712,88.79,90.66,9.38
713,88.72,90.34,9.33
714,88.68,91.31,9.43
715,88.65,91.09,9.48
716,88.65,91.45,9.41
717,88.65,91.74,9.45
718,88.68,91.63,9.5
719,88.68,91.6,9.55
720,88.65,89.8,9.59
721,88.65,89.94,9.52
722,88.65,88.68,9.57
723,88.54,88.79,9.48
724,88.57,89.51,9.48
725,88.5,89.26,9.43
726,88.5,89.29,9.34
727,88.54,89.55,9.43
728,88.5,89.51,9.42
729,88.5,89.55,9.48
730,88.5,89.69,9.56
731,88.47,89.44,9.65
732,88.47,89.8,9.53
733,88.43,90.05,9.42
734,88.47,89.69,9.53
735,88.43,89.51,9.59
736,88.47,89.51,9.53
737,88.47,89.69,9.32
738,88.43,89.83,9.43
739,,,9.29
740,88.39,89.69,9.52
741,88.39,89.4,9.48
742,88.39,90.7,9.46
743,88.39,89.15,9.14
744,88.43,90.23,9.3
745,88.36,90.99,9.67
746,88.36,90.73,9.4
747,88.32,91.09,9.29
748,88.32,91.24,9.42
749,88.32,91.31,10.61
750,88.32,90.81,9.42
751,88.29,90.73,9.45
752,88.32,90.19,9.8
753,88.29,90.7,9.54
754,88.18,90.84,9.31
755,88.29,90.3,9.18
756,88.25,90.48,9.12
757,88.29,90.34,9.03
758,88.25,90.59,9.07
759,88.29,88.79,8.76
760,88.18,88.57,8.98
761,88.18,88.54,9.4
762,88.11,88.54,9.35
763,88.14,88.5,9.1
764,88.11,88.43,9.14
765,88.07,88.25,9.29
766,88.07,88.29,9.39
767,88.07,88.5,9.2
768,88.07,88.54,9.24
769,88.03,88.57,9.16
770,88.11,88.65,9.12
771,88.07,88.5,9.11
772,88,88.25,9.06
773,88.03,88.54,9.16
774,88.03,88.57,9.12
775,88.03,88.65,9.08
776,87.93,88.54,9.05
777,87.93,88.5,9.09
778,87.89,88.54,9.14
